epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.59684,0.56394,5.6986,0.95179,0.37562,0.70563,0.35088,0.30607,0.56498,5.62191,0.96648,9.66667e-05,9.66667e-05,0.0807633
2,13.193,0.51519,3.55238,0.94425,0.36814,0.62766,0.44568,0.36436,0.50549,3.90936,0.98419,0.000195684,0.000195684,0.0608624
3,17.8906,0.4969,3.0581,0.94876,0.31829,0.84341,0.39499,0.36481,0.36272,3.45286,0.91871,0.000293703,0.000293703,0.0409604
4,22.3787,0.47588,2.88135,0.92136,0.3431,0.76424,0.49624,0.46124,0.36125,4.08558,0.9022,0.000390723,0.000390723,0.0210574
5,26.8638,0.5125,2.98885,0.93051,0.45768,0.6619,0.50921,0.44585,0.37143,3.90056,0.91698,0.000486743,0.000486743,0.00115341
6,31.1926,0.51066,2.90046,0.92614,0.23117,0.85748,0.4253,0.39769,0.32366,7.25988,0.88553,0.000487513,0.000487513,0.000487513
7,35.6647,0.51381,2.74879,0.94996,0.47611,0.82833,0.64034,0.57731,0.38167,2.88439,0.92148,0.000485015,0.000485015,0.000485015
8,40.2568,0.49977,2.63295,0.93494,0.45601,0.54783,0.42525,0.38762,0.34065,4.21592,0.90028,0.000482518,0.000482518,0.000482518
9,44.6208,0.47131,2.47593,0.92241,0.41955,0.86631,0.61366,0.57592,0.34739,2.72766,0.91397,0.00048002,0.00048002,0.00048002
10,49.0124,0.49872,2.58087,0.95828,0.58321,0.76217,0.68563,0.63009,0.36032,2.83777,0.9155,0.000477522,0.000477522,0.000477522
11,53.4049,0.52371,2.62794,0.9546,0.58069,0.73852,0.69675,0.63883,0.37137,2.25609,0.9212,0.000475025,0.000475025,0.000475025
12,58.1717,0.50325,2.36648,0.93583,0.48669,0.71404,0.60967,0.56947,0.32552,2.69417,0.89501,0.000472527,0.000472527,0.000472527
13,62.601,0.49389,2.34149,0.95919,0.58426,0.76178,0.6761,0.63317,0.33793,2.28784,0.89978,0.00047003,0.00047003,0.00047003
14,67.1715,0.4817,2.11091,0.93015,0.48773,0.90695,0.73233,0.68443,0.35291,2.09747,0.90241,0.000467533,0.000467533,0.000467533
15,71.5056,0.48297,2.14431,0.93074,0.62039,0.60326,0.65068,0.5982,0.39613,2.8714,0.94082,0.000465035,0.000465035,0.000465035
16,75.8419,0.48795,2.09185,0.92592,0.58299,0.80181,0.67974,0.63086,0.36282,2.08905,0.89353,0.000462538,0.000462538,0.000462538
17,80.1916,0.50445,2.07173,0.94955,0.49664,0.77795,0.69717,0.64634,0.34872,2.03232,0.90065,0.00046004,0.00046004,0.00046004
18,84.4459,0.4841,2.10942,0.93883,0.56952,0.67982,0.66583,0.61151,0.34327,2.26801,0.90312,0.000457543,0.000457543,0.000457543
19,88.8785,0.4895,2.05647,0.9365,0.50682,0.86196,0.73674,0.69341,0.33523,1.83937,0.89396,0.000455045,0.000455045,0.000455045
20,93.2944,0.49517,2.1015,0.94987,0.5763,0.91754,0.78515,0.74049,0.30976,1.73594,0.88045,0.000452547,0.000452547,0.000452547
21,97.9246,0.47522,2.05539,0.9357,0.58325,0.75096,0.75833,0.70882,0.32926,1.84037,0.89256,0.00045005,0.00045005,0.00045005
22,102.238,0.4682,1.89322,0.93622,0.52346,0.88681,0.81619,0.76118,0.34094,1.70329,0.88703,0.000447553,0.000447553,0.000447553
23,106.749,0.46238,1.89815,0.91922,0.48801,0.80062,0.74999,0.6981,0.34042,1.9812,0.89377,0.000445055,0.000445055,0.000445055
24,110.979,0.45215,1.821,0.91893,0.57809,0.7986,0.78728,0.71993,0.38476,1.82075,0.9211,0.000442558,0.000442558,0.000442558
25,115.573,0.4733,2.05537,0.94837,0.60848,0.77263,0.74713,0.69176,0.32617,1.72353,0.89636,0.00044006,0.00044006,0.00044006
26,120.155,0.47561,2.07481,0.94995,0.51329,0.709,0.64673,0.59068,0.34417,2.25113,0.90668,0.000437563,0.000437563,0.000437563
27,124.489,0.47987,2.18721,0.93667,0.50737,0.71454,0.66398,0.63592,0.30162,2.273,0.88081,0.000435065,0.000435065,0.000435065
28,129.083,0.46841,1.93026,0.91826,0.48239,0.80973,0.73735,0.68952,0.32682,2.07625,0.8979,0.000432568,0.000432568,0.000432568
29,133.312,0.46834,1.85428,0.92767,0.66954,0.82434,0.82338,0.78299,0.3265,1.60522,0.9151,0.00043007,0.00043007,0.00043007
30,138.133,0.47157,1.79455,0.93347,0.60698,0.90083,0.8179,0.77315,0.32775,1.77486,0.91698,0.000427572,0.000427572,0.000427572
31,142.393,0.47803,1.92168,0.92974,0.64717,0.90815,0.84753,0.80876,0.31905,1.38548,0.90808,0.000425075,0.000425075,0.000425075
32,146.737,0.48303,1.90728,0.9464,0.6026,0.80663,0.76467,0.73002,0.29595,2.362,0.87832,0.000422577,0.000422577,0.000422577
33,150.948,0.45614,1.84132,0.92486,0.61486,0.8665,0.81641,0.76485,0.35375,1.58487,0.90969,0.00042008,0.00042008,0.00042008
34,155.428,0.47152,1.87352,0.93283,0.68197,0.77402,0.82787,0.77536,0.339,1.59709,0.92085,0.000417582,0.000417582,0.000417582
35,160.049,0.45292,1.72115,0.91808,0.7197,0.82963,0.808,0.77073,0.30782,1.48079,0.88431,0.000415085,0.000415085,0.000415085
36,164.491,0.45798,1.7543,0.92204,0.71055,0.80612,0.85902,0.81323,0.33468,1.42736,0.89623,0.000412588,0.000412588,0.000412588
37,169.165,0.47024,1.80144,0.94534,0.66155,0.93646,0.84288,0.80363,0.31732,1.33106,0.89202,0.00041009,0.00041009,0.00041009
38,173.826,0.48565,1.66936,0.9409,0.89368,0.7842,0.90943,0.8608,0.33241,1.30642,0.89556,0.000407592,0.000407592,0.000407592
39,178.782,0.46057,1.65148,0.92173,0.79096,0.87593,0.91954,0.87188,0.31391,1.21422,0.89091,0.000405095,0.000405095,0.000405095
40,183.663,0.44613,1.69017,0.91919,0.82633,0.74464,0.89805,0.84417,0.30681,1.31651,0.89473,0.000402597,0.000402597,0.000402597
41,188.346,0.47017,1.66887,0.93725,0.80237,0.8149,0.91451,0.85469,0.35958,1.24708,0.90798,0.0004001,0.0004001,0.0004001
42,192.949,0.43223,1.46514,0.92516,0.7906,0.82663,0.85367,0.80338,0.31851,1.54241,0.88993,0.000397603,0.000397603,0.000397603
43,197.471,0.43518,1.54059,0.90996,0.68087,0.87218,0.85526,0.81127,0.31004,1.42508,0.88525,0.000395105,0.000395105,0.000395105
44,201.983,0.4306,1.52234,0.91664,0.71607,0.74625,0.85637,0.81063,0.31751,1.34162,0.90014,0.000392608,0.000392608,0.000392608
45,206.672,0.42136,1.57694,0.89632,0.85743,0.9333,0.93216,0.87806,0.28715,1.0759,0.89412,0.00039011,0.00039011,0.00039011
46,211.402,0.45071,1.58142,0.93346,0.83591,0.91107,0.9425,0.89981,0.28856,0.95761,0.88505,0.000387613,0.000387613,0.000387613
47,216.044,0.45126,1.51004,0.90754,0.76515,0.90773,0.90494,0.85176,0.30063,1.15186,0.88779,0.000385115,0.000385115,0.000385115
48,220.647,0.4568,1.74125,0.91523,0.68093,0.85361,0.87786,0.81767,0.33571,1.40266,0.90927,0.000382617,0.000382617,0.000382617
49,224.794,0.43486,1.62245,0.9157,0.82761,0.89396,0.93102,0.88145,0.32355,1.02885,0.89614,0.00038012,0.00038012,0.00038012
50,229.318,0.43482,1.5445,0.9149,0.9075,0.82541,0.9094,0.86414,0.29622,1.17191,0.88315,0.000377623,0.000377623,0.000377623
